Cities,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
Hambantota,97,LK,1610148898,85,6.1241,81.1185,76.77,5.03
Vaini,40,TO,1610148899,79,-21.2,-175.2,84.2,10.36
Te Anau,11,NZ,1610148900,48,-45.4167,167.7167,64.99,4.41
Ranong,20,TH,1610148902,88,9.9658,98.6348,75.2,4.52
Balkanabat,0,TM,1610148789,62,39.5108,54.3671,38.37,5.46
Muros,6,ES,1610148905,84,42.7762,-9.0603,39.99,13.42
Hithadhoo,90,MV,1610148906,80,-0.6,73.0833,81.72,13.85
Hashimoto,20,JP,1610148907,59,34.3167,135.6167,35.6,12.66
Rikitea,47,PF,1610148908,74,-23.1203,-134.9692,78.78,13.27
Gopālpur,65,IN,1610148909,63,19.2667,84.9167,68.25,6.06
Alakurtti,88,RU,1610148910,90,66.9672,30.3491,10.99,1.25
Tonj,1,SS,1610148912,26,7.2737,28.6822,74.84,6.42
Bredasdorp,0,ZA,1610148913,94,-34.5322,20.0403,62.6,1.14
Kavaratti,27,IN,1610148914,75,10.5669,72.642,81.75,7.02
Kulhudhuffushi,100,MV,1610148915,76,6.6221,73.07,82.18,8.77
Hermanus,0,ZA,1610148916,85,-34.4187,19.2345,66.0,7.05
Atuona,60,PF,1610148917,74,-9.8,-139.0333,77.65,18.1
Kapaa,1,US,1610148919,57,22.0752,-159.319,80.6,13.8
Saint-Joseph,0,RE,1610148920,68,-21.3667,55.6167,73.4,6.91
Nuquí,96,CO,1610148921,83,5.7125,-77.2708,77.47,3.02
Cape Town,0,ZA,1610148922,77,-33.9258,18.4232,66.99,13.8
Hobart,40,AU,1610148923,56,-42.8794,147.3294,73.99,4.61
Muravlenko,92,RU,1610148924,91,63.7898,74.523,-11.09,1.88
Kruisfontein,70,ZA,1610148925,92,-34.0033,24.7314,69.01,4.59
Chokurdakh,97,RU,1610148927,89,70.6333,147.9167,-17.45,3.15
Labuhan,100,ID,1610148928,81,-6.8844,112.2051,80.35,7.27
Lavrentiya,0,RU,1610148929,82,65.5833,-171.0,-12.44,3.4
Carnarvon,56,AU,1610148930,74,-24.8667,113.6333,84.2,10.36
Port Alfred,37,ZA,1610148931,93,-33.5906,26.891,71.01,1.01
Mar del Plata,0,AR,1610148856,59,-38.0023,-57.5575,62.6,8.05
Vuktyl,0,RU,1610148933,89,63.8567,57.3094,-8.05,2.89
Arraial do Cabo,75,BR,1610148934,86,-22.9661,-42.0278,80.6,2.3
Ushuaia,75,AR,1610148809,38,-54.8,-68.3,57.2,10.36
Upernavik,100,GL,1610148937,74,72.7868,-56.1549,7.3,4.99
Sangmélima,0,CM,1610148938,91,2.9333,11.9833,68.85,3.87
Bluff,83,NZ,1610148939,78,-46.6,168.3333,59.0,15.01
Katsuura,20,JP,1610148940,30,35.1333,140.3,41.0,9.22
Moose Factory,90,CA,1610148941,100,51.2585,-80.6094,19.4,8.05
Mīrābād,0,AF,1610148942,70,30.4362,61.8383,29.62,4.43
Saint-Philippe,0,RE,1610148944,68,-21.3585,55.7679,78.8,6.91
Bria,45,CF,1610148945,28,6.5423,21.9863,68.74,1.43
Kyra,34,RU,1610148946,83,49.5776,111.9753,-4.5,6.31
Puerto Ayora,0,EC,1610148858,65,-0.7393,-90.3518,80.6,18.41
Airai,99,TL,1610148948,92,-8.9266,125.4092,69.06,0.85
Albany,0,US,1610148950,71,42.6001,-73.9662,26.01,4.94
Vryburg,45,ZA,1610148951,61,-26.9566,24.7284,72.81,3.69
Punta Arenas,75,CL,1610148732,58,-53.15,-70.9167,55.4,20.71
Iroquois Falls,20,CA,1610148936,85,48.7669,-80.6831,10.4,3.91
Dikson,67,RU,1610148954,90,73.5069,80.5464,-11.85,12.06
Novaya Ladoga,100,RU,1610148955,95,60.1025,32.3019,11.8,6.4
Korla,95,CN,1610148956,89,41.7597,86.1469,15.57,1.52
Ostrovnoy,100,RU,1610148958,94,68.0531,39.5131,10.06,3.67
Alofi,75,NU,1610148959,74,-19.0595,-169.9187,84.2,14.97
Padang,100,ID,1610148666,83,-0.9492,100.3543,76.86,0.4
Praia,40,CV,1610148961,73,14.9215,-23.5087,73.4,20.71
Natal,40,BR,1610148830,74,-5.795,-35.2094,80.6,11.5
Qaanaaq,100,GL,1610148963,89,77.484,-69.3632,0.81,9.24
Peniche,30,PT,1610148964,62,39.3558,-9.3811,42.01,5.01
Aykhal,100,RU,1610148965,87,66.0,111.5,-13.63,6.93
Port Hardy,40,CA,1610148967,76,50.6996,-127.4199,46.4,8.05
Geraldton,78,AU,1610148843,73,-28.7667,114.6,77.0,4.61
Clyde River,75,CA,1610148969,84,70.4692,-68.5914,-2.2,11.5
